data,all_num,all_nd_num,g_num,g_nd_num,l_num,l_nd_num
FEDIG,-,-,-,-,-,-
credit,8408,8170,1000,971,7408,7236
bank,8205,8015,1000,979,7205,7063
census,9374,9305,1000,998,8374,8323
-,-,-,-,-,-,-
ADF,-,-,-,-,-,-
credit,5794,3304,612,596,5182,2994
bank,7633,4459,1000,754,6633,4152
census,10735,7336,1000,996,9735,7284
-,-,-,-,-,-,-
EIDIG,-,-,-,-,-,-
credit,7400,4172,750,739,6650,3796
bank,9815,5976,1000,983,8815,5545
census,10751,7231,1000,997,9751,7150
-,-,-,-,-,-,-
NeuronFair,-,-,-,-,-,-
credit,7203,2760,804,747,6399,2416
bank,8756,2760,1000,959,7756,2351
census,10583,7075,1000,997,9583,7015
-,-,-,-,-,-,-
DICE,-,-,-,-,-,-
credit,9886,6064,1000,6064,8886,5122
bank,9526,6183,1000,6183,8526,5372
census,10726,8078,1000,8078,9726,7220
-,-,-,-,-,-,-
