data,number,time,global_time,local_time
ADF,-,-,-,-
credit,3263,361.22574520111084,206.48465943336487,154.72545838356018
bank,4117,132.57172107696533,49.19565463066101,83.34482073783875
census,3950,670.8736002445221,386.65291142463684,284.1894383430481
EIDIG,-,-,-,-
credit,4102,290.7955892086029,183.57411527633667,107.2079439163208
bank,5230,101.19917821884155,37.486196517944336,63.675164222717285
census,6653,551.8479571342468,233.26456141471863,318.54263639450073
NeuronFair,-,-,-,-
credit,2823,384.1492118835449,166.39406991004944,217.5934567451477
bank,2152,170.4146068096161,49.032981872558594,119.99242949485779
census,6699,707.8564991950989,199.11264967918396,507.2782943248749
FEDIG,-,-,-,-
credit,12481,330.8421287536621,164.85837864875793,155.5818727016449
bank,6796,102.90105962753296,48.31779718399048,47.79622554779053
census,6112,410.2196898460388,279.35986065864563,126.01781105995178
DICE,-,-,-,-
credit,5461,360.041090965271,114.44240403175354,245.58388447761536
bank,5841,150.04819989204407,35.21754598617554,114.80154299736023
census,5946,600.0914888381958,163.82099056243896,436.2276785373688
-,-,-,-,-

ADF,-,-,-,-
credit,3320,363.26650857925415,208.1434895992279,155.10471725463867
bank,4168,135.59435725212097,49.918572187423706,85.66015934944153
census,3934,673.3834171295166,389.01559567451477,284.32600355148315
EIDIG,-,-,-,-
credit,4151,296.4273431301117,186.81999611854553,109.59172248840332
bank,5221,98.69993114471436,36.8655788898468,61.820820331573486
census,6731,558.5530290603638,235.72142934799194,322.820592880249
NeuronFair,-,-,-,-
credit,2786,386.186429977417,167.15604376792908,218.89051389694214
bank,2203,170.34219694137573,48.79421091079712,120.079754114151
census,6708,713.6639411449432,200.53963160514832,511.58612060546875
FEDIG,-,-,-,-
credit,12434,334.55706787109375,167.70102763175964,156.86780548095703
bank,6904,105.60888457298279,48.88739466667175,49.7763295173645
census,6199,414.30973720550537,281.33703231811523,128.0104274749756
DICE,-,-,-,-
credit,5713,360.06096386909485,114.1072289943695,245.9220507144928
bank,5896,150.07870936393738,35.62096357345581,114.41774559020996
census,6160,600.1141617298126,158.56798362731934,441.5149269104004
-,-,-,-,-

ADF,-,-,-,-
credit,3327,364.9074192047119,208.34693479537964,156.54482555389404
bank,4138,134.6067328453064,49.303875207901,85.28719878196716
census,3915,672.572288274765,388.3344044685364,284.19962310791016
EIDIG,-,-,-,-
credit,4087,293.365473985672,184.12951564788818,109.22031545639038
bank,5183,98.35299563407898,36.26041841506958,62.06443214416504
census,6637,553.8021290302277,234.61326956748962,319.1415123939514
NeuronFair,-,-,-,-
credit,2838,387.7860789299011,167.9070942401886,219.7244098186493
bank,2210,167.87656378746033,48.4173526763916,118.02772569656372
census,6624,706.9343783855438,199.66964840888977,505.76220202445984
FEDIG,-,-,-,-
credit,12476,332.0072329044342,168.5910999774933,152.92727971076965
bank,6957,106.47210121154785,48.59247326850891,50.97338128089905
census,6288,414.8998188972473,282.60475420951843,127.28378486633301
DICE,-,-,-,-
credit,5617,360.0530035495758,116.12602400779724,243.89629220962524
bank,5709,150.07137155532837,36.11836910247803,113.92294406890869
census,5881,600.0714712142944,162.82868719100952,437.2127363681793
-,-,-,-,-

ADF,-,-,-,-
credit,3327,375.20478868484497,214.0808961391449,161.09574031829834
bank,4187,140.3293001651764,51.10639405250549,89.19829559326172
census,3959,698.7631466388702,403.223069190979,295.49319219589233
EIDIG,-,-,-,-
credit,4195,305.47139954566956,192.23727917671204,113.20287013053894
bank,5211,102.89226412773132,37.87740921974182,64.99268627166748
census,6708,576.1939496994019,244.15416955947876,332.02415680885315
NeuronFair,-,-,-,-
credit,2736,399.7792398929596,173.69753670692444,225.91190457344055
bank,2145,173.75921487808228,50.32473802566528,122.00767993927002
census,6674,738.4908344745636,208.50477695465088,528.4361028671265
FEDIG,-,-,-,-
credit,12305,338.1639156341553,169.30730628967285,158.5285451412201
bank,7476,115.1428873538971,49.63450860977173,58.37095522880554
census,6361,418.80286264419556,284.0891728401184,129.7259659767151
DICE,-,-,-,-
credit,5770,360.06388425827026,110.89874005317688,249.13267827033997
bank,6038,150.0602514743805,35.514240980148315,114.51451778411865
census,6077,600.1187927722931,160.27282619476318,439.81430745124817
-,-,-,-,-

ADF,-,-,-,-
credit,3392,372.18681359291077,212.77757477760315,159.3936116695404
bank,4152,138.65846061706543,50.849753856658936,87.7930805683136
census,3948,687.3316602706909,398.7270700931549,288.5733070373535
EIDIG,-,-,-,-
credit,4142,302.58184695243835,190.56369543075562,112.00028276443481
bank,5248,101.51265048980713,37.6380774974823,63.845386266708374
census,6496,571.6992599964142,242.30482840538025,329.3491151332855
NeuronFair,-,-,-,-
credit,2803,396.60305881500244,171.67464399337769,224.7840850353241
bank,2151,173.88397979736328,50.33860778808594,122.11424446105957
census,6638,726.7526745796204,205.64617395401,519.5185813903809
FEDIG,-,-,-,-
credit,11624,350.0540428161621,166.11859321594238,173.75008058547974
bank,7907,114.49642539024353,48.393736600875854,59.24769067764282
census,6238,412.026664018631,278.94140362739563,128.24706101417542
DICE,-,-,-,-
credit,5744,360.07638025283813,115.98991441726685,244.0517134666443
bank,5973,150.05576872825623,35.16425347328186,114.8598268032074
census,6076,600.1151275634766,155.65544438362122,444.435827255249
-,-,-,-,-

