explanation,time,layer
FEDIG,-,-
credit,-,-
['Purpose_CarOld'],0.3920559883117676,-
"['job_skilledVsMgt', 'jobs_unskilledVsMgt', 'house_ownsVsFree', 'ForeignWorker']",0.3920559883117676,-
bank,-,-
"['poutcome', 'duration', 'default']",0.35111474990844727,-
"['month', 'marital', 'day']",0.35111474990844727,-
census,-,-
"['native-country', 'education-num', 'relationship']",1.4041543006896973,-
"['workclass', 'occupation']",1.4041543006896973,-
NeuronFair,-,-
credit,-,-
[0 1 0 1],0.44591259956359863,4
bank,-,-
[0 0 1 1],6.634364604949951,4
census,-,-
[1 1 1 1 1 1 1 0 1 0 0 1 1 0 1 1],6.934003829956055,2
