number,time
9848,406.54742527008057
9496,357.8945815563202
9352,356.14527678489685
8864,348.06954550743103
8508,364.86628103256226
7327,350.82753014564514
6852,362.7377405166626
6289,370.76831698417664
4584,352.59732580184937
2822,325.7003161907196
2057,283.15239429473877
-,-
9860,396.1408224105835
9453,350.4772183895111
9297,342.07654190063477
8901,339.03724098205566
8475,357.68647742271423
7359,344.1278760433197
6796,356.9836814403534
6255,360.50138330459595
4643,345.7028589248657
2876,322.4701335430145
2070,278.2038309574127
-,-
9784,397.661381483078
9447,349.6607518196106
9436,341.4245147705078
8830,336.69390535354614
8586,355.8142957687378
7318,340.2906198501587
6820,369.78290343284607
6190,382.5580720901489
4646,369.86936950683594
2874,338.9317367076874
2053,294.78543496131897
-,-
9825,400.73771691322327
9447,349.41225576400757
9363,337.60046792030334
8810,337.61948132514954
8494,357.45577335357666
7320,341.40958428382874
6813,349.0890848636627
6182,353.2199249267578
4617,342.75091576576233
2818,315.53529357910156
2077,275.51092195510864
-,-
