number,time
4480,254.20423674583435
6049,274.7125663757324
9319,338.3051209449768
7152,328.1209533214569
11006,402.7605650424957
20726,683.8030235767365
-,-
4490,252.2802391052246
6070,274.2187840938568
9317,338.6305310726166
7118,326.0414068698883
10921,400.39654421806335
20681,678.9905700683594
-,-
4486,256.38891220092773
6080,275.7946865558624
9309,341.89640402793884
7176,330.07995867729187
10967,402.2998652458191
20664,682.7530164718628
-,-
4479,250.71933102607727
6045,273.76757764816284
9393,337.57663917541504
7129,326.13892006874084
10967,400.34309363365173
20744,677.5544722080231
-,-
4469,255.16209745407104
6101,277.7193057537079
9384,341.77698969841003
7119,330.6243405342102
11013,403.87675070762634
20660,686.4058363437653
-,-
