number,time
9317,308.62917923927307
9377,321.01055812835693
9314,330.43732738494873
9310,339.35466504096985
9309,340.3345277309418
9303,337.41896295547485
9379,336.57351303100586
9255,339.7748339176178
-,-
9347,307.66046476364136
9303,316.18556451797485
9318,327.64506936073303
9297,334.368115901947
9341,335.5343065261841
9241,337.0802402496338
9339,336.95818305015564
9307,336.1761837005615
-,-
9263,299.38413405418396
9312,310.176709651947
9352,322.69995856285095
9341,330.50889348983765
9341,330.006804227829
9312,328.8111608028412
9351,329.1886465549469
9339,331.48550033569336
-,-
9230,310.8901460170746
9310,319.2780420780182
9246,334.7300024032593
9305,342.2560477256775
9332,344.9744293689728
9355,342.48074746131897
9258,341.2088289260864
9294,340.97673082351685
-,-
9290,312.6338436603546
9227,320.33114552497864
9312,330.6430323123932
9299,340.45655131340027
9314,345.7465629577637
9377,341.9470884799957
9274,343.5295844078064
9329,342.52532625198364
-,-
